arch,case_id,klass,klass_name,dice,hd95
edgeatt,pancreas_199,2,mass,0.27532,21.96359
edgeatt,pancreas_074,1,pancreas,0.31219,6.40312
edgeatt,pancreas_074,2,mass,0.0,
edgeatt,pancreas_291,1,pancreas,0.76416,1.41421
edgeatt,pancreas_291,2,mass,0.38346,3.0
edgeatt,pancreas_215,1,pancreas,0.78893,2.0
edgeatt,pancreas_215,2,mass,0.2973,6.08276
edgeatt,pancreas_049,1,pancreas,0.67786,2.83701
edgeatt,pancreas_049,2,mass,0.5492,6.44966
edgeatt,pancreas_077,1,pancreas,0.74293,2.0
edgeatt,pancreas_077,2,mass,0.42473,3.60555
edgeatt,pancreas_207,1,pancreas,0.76072,3.0
edgeatt,pancreas_207,2,mass,0.192,4.58258
edgeatt,pancreas_114,1,pancreas,0.64177,4.02774
edgeatt,pancreas_114,2,mass,0.04425,12.21469
edgeatt,pancreas_166,1,pancreas,0.78944,1.0
edgeatt,pancreas_166,2,mass,0.0,15.89018
edgeatt,pancreas_309,1,pancreas,0.44382,2.23607
edgeatt,pancreas_309,2,mass,0.09399,20.26814
edgeatt,pancreas_204,1,pancreas,0.5212,4.12311
edgeatt,pancreas_204,2,mass,0.5896,1.73205
sea,pancreas_409,1,pancreas,0.5938,6.0
sea,pancreas_409,2,mass,0.0,
sea,pancreas_329,1,pancreas,0.63441,3.74166
sea,pancreas_329,2,mass,0.40777,8.16069
sea,pancreas_180,1,pancreas,0.72251,2.0
sea,pancreas_180,2,mass,0.61954,9.62517
sea,pancreas_347,1,pancreas,0.39137,7.2111
sea,pancreas_347,2,mass,0.0,15.25767
sea,pancreas_369,1,pancreas,0.73537,2.44949
sea,pancreas_369,2,mass,0.0,23.59236
sea,pancreas_159,1,pancreas,0.6984,3.60555
sea,pancreas_159,2,mass,0.73403,1.41421
sea,pancreas_135,1,pancreas,0.51012,9.16515
sea,pancreas_135,2,mass,0.03361,6.24448
sea,pancreas_402,1,pancreas,0.5535,5.09902
sea,pancreas_402,2,mass,0.0,19.80404
sea,pancreas_416,1,pancreas,0.58166,2.80948
sea,pancreas_416,2,mass,0.21341,3.60555
sea,pancreas_058,1,pancreas,0.42762,6.40312
sea,pancreas_058,2,mass,0.0,45.98206
sea,pancreas_198,1,pancreas,0.70778,18.77629
sea,pancreas_198,2,mass,0.65926,2.23607
sea,pancreas_209,1,pancreas,0.64321,2.0
sea,pancreas_209,2,mass,0.22782,18.44446
